Gene	Tx 0min Rep1	Tx 30min Rep1	Tx 60min Rep1	Tx 90min Rep1	Tx 0min Rep2	Tx 30min Rep2	Tx 60min Rep2	Tx 90min Rep2	Tx 0min Rep3	Tx 30min Rep3	Tx 60min Rep3	Tx 90min Rep3
YNL072W	14.0864	18.0931	15.4499	14.7177	16.7057	17.5365	14.2117	14.7414	15.7675	14.9866	11.5055	13.0551
YNL073W	21.671	21.2653	22.2041	21.3306	19.8645	22.3932	23.0781	22.2897	21.335	19.6479	22.0517	21.9435
YNL074C	55.7491	53.215	50.4947	46.9069	49.22	61.8903	54.3839	56.8228	46.4254	50.3841	48.9603	56.4692
YNL075W	35.6098	37.5685	37.7533	39.679	41.1101	42.4254	36.2518	36.9485	39.0509	39.827	40.2053	37.2256
YNL076W	18.3575	19.1463	19.9466	20.3479	21.8412	23.1389	21.1179	22.6686	19.7226	19.508	21.1349	22.1569
YNL077W	6.91325	8.25946	8.13582	8.81462	8.41224	8.47459	8.59058	10.1979	9.94794	9.45409	9.99851	11.877
YNL078W	32.5159	34.4618	33.452	32.5531	34.6965	36.7383	31.3559	30.9486	33.3057	31.2215	30.2397	28.6649
YNL079C	457.792	503.247	498.938	537.253	521.136	605.209	524.383	561.752	515.846	503.161	575.372	595.189
YNL080C	48.37	45.6602	43.9381	42.4847	43.3684	45.5781	41.1826	40.4806	40.6366	40.1238	37.0524	40.9823
YNL081C	59.2998	64.9465	67.2043	73.4956	75.8307	74.1467	75.0884	81.6346	74.9982	73.399	80.9839	84.0177
YNL082W	8.29683	9.18856	9.76996	10.0582	10.2316	10.7663	9.75121	10.5682	10.236	9.99394	10.8725	10.9386
YNL083W	4.91252	6.16958	6.25246	7.6666	8.48364	9.50022	8.49542	9.27227	11.0412	8.71195	10.1348	12.4395
YNL084C	55.6754	60.3931	60.9483	62.4579	59.8699	66.8711	64.3314	64.1325	62.4598	58.9824	71.8604	68.8168
YNL085W	137.272	133.778	128.293	123.63	120.807	133.324	118.398	120.037	110.726	114.02	122.601	116.413
YNL086W	61.4043	59.9757	67.8849	50.0273	50.1308	64.5969	62.7568	58.3	46.1563	49.1934	45.3042	46.2467
YNL087W	37.2715	33.8461	33.853	33.4293	38.0731	38.5262	34.1366	34.4784	38.4496	37.1064	38.1351	33.8994
YNL088W	29.1907	29.1383	31.7531	32.1345	36.0972	36.4227	32.6546	33.1031	37.0093	32.2998	36.723	35.3279
YNL089C	0.113324	0.783881	0.182231	0.223447	0.182501	0.208086	0.0947615	0.473087	0.567886	0.0817092	0.152404	0
YNL090W	14.8763	21.9344	24.9292	23.466	30.9555	32.9948	31.1645	29.4174	31.5455	30.8237	33.853	35.1951
YNL091W	25.0792	25.5775	26.7423	28.0319	31.7766	35.8011	30.6733	32.6324	33.8044	28.5827	33.8578	38.0173
YNL092W	3.95421	3.8093	3.83258	5.09992	5.5175	6.46505	6.43186	6.69909	5.99888	5.29208	8.15887	9.81683
YNL093W	1.62266	2.37437	2.60933	5.41453	4.87463	6.13098	7.67156	8.59784	5.69203	6.4799	9.946	15.0512
YNL094W	35.3202	35.9613	36.1733	42.0681	38.5066	45.1731	43.9671	47.1148	37.946	42.2519	47.7298	52.3253
YNL095C	15.5642	16.0285	16.6194	14.6924	13.7834	15.7439	16.3071	16.8537	13.364	15.4693	14.8093	16.2847
YNL096C	768.993	717.658	687.604	665.047	706.283	701.695	621.028	607.899	701.979	656.927	619.835	598.358
