Gene	ZOIBetaEstimate	ZOIBetaError	ZOIBetaLower95	ZOIBetaUpper95	ZOIBetaTrend	ZINegEstimate	ZINegError	ZINegLower95	ZINegUpper95	ZINegTrend
YJL173C	4.95599837013511	1.40825826240608	1.55071815251089	7.80998275199791	positive	1.20165426124025	0.486821929628597	0.0737469775553141	2.12426942049329	positive
YJL174W	5.16471795817649	1.61796552371229	2.3518437603104	8.85623320615127	positive	1.38524174267879	0.352195285149316	0.649443269082067	2.22427532387619	positive
YJL177W	4.89096610430766	1.42182256819982	0.71672723143658	8.15014265136357	positive	1.16659585853142	0.35516783458528	0.366656154658942	1.87376589945029	positive
YJL178C	5.24126538562921	1.25246730834224	2.62977899910738	7.99296976836261	positive	1.43398067056271	0.483508242581929	0.433778153541068	2.62263463975228	positive
YJL179W	4.09673929201488	1.62701779603235	0.82164634672877	7.64019190461533	positive	0.998279651018768	0.442882715544601	0.0550472397854218	1.89604226868779	positive
YJL180C	5.07150565103468	1.35869943163545	2.25114263845413	7.80154313554652	positive	1.3233188653118	0.390102902038092	0.404433303321343	2.12887691470857	positive
YJL183W	5.33411208693087	1.36012987815278	2.57570372549082	8.40751508525374	positive	1.44256813883102	0.457895380271363	0.0349841936220853	2.28387234748976	positive
YJL184W	4.56419524631376	1.10057455040934	2.18531578298805	6.76694138268874	positive	1.02919956134179	0.36641977601117	0.209164517185775	1.80599933526594	positive
YJL185C	4.7605931810367	1.61453917094697	1.09575544187777	8.43471213104442	positive	1.02999406262041	0.457919228112351	-0.0253112897848115	1.93875038787188	zero
YJL186W	5.01227923772043	1.17971250654375	2.51419899372302	7.48749382805957	positive	1.35910647067828	0.401189283585583	0.442132531140284	2.24320377688169	positive
YJL187C	4.94322537777475	1.13234264311049	2.60198223150657	7.39315053316815	positive	1.24923050840003	0.428470785294274	0.266902340374889	2.27110576188655	positive
YJL190C	4.53226180931257	1.46556997597798	1.44491819931358	7.18701843780664	positive	1.13947207234989	0.366023667283085	0.361262953516769	2.09818700244918	positive
YJL191W	4.67250220427481	1.34552419633644	1.8024018549708	7.31855494443559	positive	1.1362415807088	0.321055312839951	0.492177861299883	1.95375352569025	positive
YJL192C	4.74467449621587	1.03020330185042	2.62215454774094	6.88279074186554	positive	1.04464270327887	0.410052590603035	0.168322127156399	1.95321527780071	positive
YJL193W	4.83220691511814	1.20646798448932	2.04932749861656	7.15790633288493	positive	1.30732132148991	0.384872854464357	0.4630554393107	2.22151871806977	positive
YJL196C	4.71870629652589	1.2683945882087	1.97684734934523	7.35249203884702	positive	1.0809862570604	0.416522348321321	0.0847598179896943	1.89546474458699	positive
YJL198W	4.77615521661107	1.27706625591512	1.94608207220697	7.58357248181114	positive	1.16570999326031	0.454092762764808	0.355090749449018	2.16657778764915	positive
YJL199C	4.74407091200832	1.22284147535336	1.97794171763972	7.3131347315602	positive	1.27498766680921	0.553529835636722	0.22325205905172	2.87155972818983	positive
YJL200C	4.92268811569348	1.38014500062038	1.70446329003498	7.66496715618804	positive	1.36002180258244	0.451877087070184	0.482534065484563	2.27169389133337	positive
YJL201W	4.89546735484809	1.59874019497271	-0.739630018668337	7.42723281858152	zero	1.40326423807317	0.347579418142319	0.581020098252207	2.14370689694648	positive
YJL204C	5.15664858430506	1.29139660627001	2.36947709780677	7.74925069580548	positive	1.47146884369594	0.520620138568638	0.473205725040986	2.54059082378988	positive
YJL205C	4.37396148454869	1.70930153088879	1.04576041733424	8.46554753593765	positive	0.946432107026358	0.429086137032641	0.0284141436646397	2.03136286032225	positive
YJL206C	5.05950110589948	1.37327342919925	2.52036011683863	8.25217392435536	positive	1.44493271763967	0.385473821709018	0.632517296909738	2.28368235961612	positive
YJL207C	5.02289487056009	1.23876498877746	2.51318655379032	7.70069631448624	positive	1.33895934675014	0.358050564863553	0.487899594651746	2.0982608335018	positive
YJL208C	4.98558647665426	1.26631064692617	2.19300784966965	7.58912910326699	positive	1.25033423913067	0.515025097411831	0.242640656565826	2.39613945492783	positive
YJL209W	5.16034821892126	1.25816819574446	2.47875434901079	7.75425482956668	positive	1.40506301826971	0.442103671806593	0.220177522592477	2.25914436309332	positive
YJL212C	5.25898261399866	1.22270974181834	2.68218469263189	7.83692031514565	positive	1.41538573871393	0.560345490437027	-0.435860812790771	2.51026210937097	zero
YJL213W	6.06864893793409	1.48088754440859	3.30206720273462	9.00555413087037	positive	2.19763722949109	0.454402061869584	1.28817474989975	3.16545900145259	positive
YJL214W	4.80463460879502	1.23954076880682	2.30551117862787	7.57650842404494	positive	1.1978004812215	0.41627871656942	0.11800652331885	1.94763404389856	positive
YJL215C	4.7948055829456	1.2580312463114	2.18175435155958	7.41807108117197	positive	0.990338940346542	0.456066354723297	-0.0359595388657869	1.91792177675721	zero
YJL216C	4.87298144784566	1.22608763892291	2.16833886487155	7.31694579895707	positive	1.20015804711994	0.415271883620414	0.262932027978733	2.0413883407964	positive
YJL217W	4.74862254916263	1.34856574939044	1.7150004057223	7.45809082775988	positive	1.02728604733267	0.415518268010748	0.206731107156699	1.93139940867842	positive
YJL218W	4.9477673765372	1.60728196618949	1.55290664371339	8.48063644846788	positive	1.17607515228027	0.49453913249431	0.174476143157283	2.20538590935153	positive
YJL219W	4.18244968711331	1.79721256736144	-0.170103078705499	7.7249435370839	zero	0.902558080428654	0.478072231960428	-0.101084357331268	2.27759172661447	zero
YJL222W	4.22972574117401	1.9188878516387	0.328589993163151	9.28322257106604	positive	1.66005170018154	0.743259710383893	0.291978585623427	3.71329435978798	positive
YJR001W	5.48594202774501	1.4971756973151	2.5715767092288	8.5102316249598	positive	1.60945197245508	0.367979125257441	0.832111181991017	2.3971945643277	positive
YJR002W	4.71540777234474	1.25039936531444	2.33170744539698	7.3656047882553	positive	1.15066698640746	0.412882399392904	0.298770518781871	2.29602530786915	positive
YJR003C	5.27706864067168	1.23663622653609	2.87011958234939	8.06006527137225	positive	1.49179929472155	0.416034235348093	0.488903134843394	2.46547866793747	positive
YJR004C	5.48768145673573	1.29343403769426	2.95203508778876	8.39238491291858	positive	1.66075941212951	0.404972312624458	0.841886472128223	2.67521900493333	positive
YJR005C-A	5.0579546386481	1.62648122739921	1.21652353047631	8.88974895795555	positive	1.20064548118749	0.389939825693936	0.397328637085796	2.11014406915107	positive
