Gene	Tx 0min Rep1	Tx 20min Rep1	Tx 40min Rep1	Tx 60min Rep1	Tx 0min Rep2	Tx 20min Rep2	Tx 40min Rep2	Tx 60min Rep2	Tx 0min Rep3	Tx 20min Rep3	Tx 40min Rep3
YGL120C	59.0273	56.515	49.659	47.0117	57.8288	49.2698	49.596	53.2987	49.4904	47.4998	47.5202
YGL121C	46.5206	61.8254	83.4228	79.9913	40.1585	47.2525	58.0797	64.3002	45.6007	56.0362	70.5006
YGL122C	55.2496	51.7126	46.2326	40.8622	52.4206	44.4605	48.9552	44.7214	48.4623	43.2395	44.264
YGL123C-A	9.68048	5.51182	9.47289	33.0205	13.6036	19.005	5.76948	12.7684	12.3212	13.5745	7.95751
YGL123W	2600.76	2702.78	2027.65	1473.28	2453.47	2100.19	2279.03	2095.91	2375.41	2042.52	2006.29
YGL124C	13.3259	14.7424	15.1178	13.9839	13.9851	13.9366	15.1949	15.7729	14.4729	14.3264	15.7075
YGL125W	105.381	117.787	97.4951	72.5196	124.137	122.357	119.429	112.859	105.61	99.5462	100.911
YGL126W	45.7378	52.5705	36.0764	23.8487	36.7907	32.9138	43.0523	35.1612	39.621	32.0111	34.5466
YGL127C	99.8123	96.8145	92.6441	93.5891	76.4349	80.4134	84.6697	76.7725	76.6559	83.1311	74.9589
YGL128C	11.0041	11.9195	11.6891	11.2621	11.3995	10.936	11.4771	11.3525	9.25277	10.4055	11.8624
YGL129C	28.3121	28.2366	28.2252	29.0604	26.0738	25.7042	26.4575	26.0776	25.7095	25.8065	29.1454
YGL130W	24.9343	29.8701	27.5094	26.2122	24.742	25.6379	25.7492	28.34	25.587	25.3257	27.7728
YGL131C	14.7975	16.3959	17.0432	15.5022	14.6303	15.5347	16.0496	16.1544	15.2062	15.2664	16.7938
YGL132W	0.66884	0.476026	1.09083	1.03702	0.361499	0	0.597934	0.245052	0.266028	0.29309	0.824696
YGL133W	14.1001	17.477	18.2845	17.8215	14.9801	17.4891	19.0913	20.177	19.2208	17.0113	19.9899
YGL134W	12.907	14.3202	13.8833	13.2199	13.1604	13.3841	14.5613	14.3589	13.5213	12.6683	15.3353
YGL135W	419.873	374.472	367.529	302.883	416.702	381.258	369.557	361.642	400.2	364.329	354.298
YGL136C	15.4074	16.9708	18.8463	19.1806	14.8265	16.8047	17.3694	18.996	14.6559	16.3611	19.6678
YGL137W	147.005	163.566	153.922	131.577	131.997	131.777	137.543	141.898	142.206	141.796	145.347
YGL138C	0	0.0262523	0.0601581	0.0571905	0.0398726	0.0905194	0.0659509	0.0810863	0.0586847	0.161636	0.0303207
YGL139W	27.5265	30.408	27.9514	25.3505	28.1752	26.7494	27.9529	29.7869	27.3526	25.9549	28.2757
YGL140C	29.5039	33.1069	31.5527	30.4724	30.7217	33.1869	34.141	35.5303	33.7188	31.6228	33.6648
YGL141W	14.4929	17.2859	18.0572	17.9294	14.5266	16.5515	17.1845	18.0462	18.1462	16.9425	20.0129
YGL142C	31.0286	34.8968	32.5913	28.6316	32.5592	29.736	31.7777	30.0184	29.6398	29.5343	31.8825
YGL143C	14.5661	14.7474	15.2241	15.5182	15.3654	15.7032	17.8167	17.503	15.3175	16.5674	17.4906
YGL144C	16.2487	15.8812	15.0082	13.7939	16.1123	13.5023	14.3823	15.0659	14.6918	12.9011	14.2692
YGL145W	15.0138	16.2738	17.4318	16.8757	15.7043	16.5249	17.3357	17.8576	17.6657	14.5455	17.456
YGL146C	2.20284	4.16071	3.10904	3.44829	2.93072	3.29203	4.34258	4.40793	2.69591	3.30429	4.38764
