gene,assay,estimate,est_error,lower_95,upper_95,eff_sample,rhat,seed,run_limit_stop,is_pos,is_neg,category,attempts
YBR274W,writer_loss,-0.666730220370152,0.335516446446323,-1.35714291136778,-0.0804627177975002,90.8458989963278,1.03497252521085,124,FALSE,FALSE,TRUE,negative,2
YBR274W,writer_eraser_loss,-0.496285625528179,0.336439935646792,-1.60307597851977,0.0665453896062521,60.1739953212285,1.07463154279691,124,FALSE,FALSE,FALSE,zero,2
YBR274W,writer_add,1.38349850789012,0.414047199408256,0.501555200310331,2.28861716136556,1741.71995719805,1.00117038874251,124,FALSE,TRUE,FALSE,positive,2
YBR275C,writer_loss,-0.542569749906603,0.133662922689948,-0.820004940533496,-0.264924068717446,479.809939258328,1.01075355708993,131,FALSE,FALSE,TRUE,negative,9
YBR275C,writer_eraser_loss,-0.411858714074489,0.277690815510022,-0.998559809489474,0.408511491416982,118.224403544959,1.03102965358604,131,FALSE,FALSE,FALSE,zero,9
YBR275C,writer_add,1.35824729917639,0.377764397494543,0.538182663646183,2.12053527597669,1039.55539161784,1.00321630918312,131,FALSE,TRUE,FALSE,positive,9
YBR276C,writer_loss,-0.598294241231168,0.270970051469739,-1.30654241425319,-0.126809359744302,511.674765021496,1.00928988777115,125,FALSE,FALSE,TRUE,negative,3
YBR276C,writer_eraser_loss,-0.419343573490085,0.275770222661554,-0.957016124306659,0.186119182880302,1748.07775562824,1.00040365567584,125,FALSE,FALSE,FALSE,zero,3
YBR276C,writer_add,1.44294498189967,0.546296426977115,0.460577941544877,2.37750524879025,213.360817345156,1.02625936519161,125,FALSE,TRUE,FALSE,positive,3
YBR279W,writer_loss,-0.56328745347223,0.226661994897538,-1.21894571696474,0.0047098332734625,52.9954890230937,1.07883912225701,126,FALSE,FALSE,FALSE,zero,4
YBR279W,writer_eraser_loss,-0.388070785855485,0.264723343743519,-0.934380467650506,0.138691451644325,973.666521798233,1.00272196821287,126,FALSE,FALSE,FALSE,zero,4
YBR279W,writer_add,1.33766534014995,0.568286578249825,0.57147331840281,2.0956405639924,174.761756977974,1.02565315109231,126,FALSE,TRUE,FALSE,positive,4
YBR280C,writer_loss,-0.545127667991173,0.266179430167963,-1.21035894996356,-0.00356384617286442,72.4376034733452,1.05716197200879,124,FALSE,FALSE,TRUE,negative,2
YBR280C,writer_eraser_loss,-0.398653956661399,0.273190617384888,-0.998232920652541,0.299608263468754,512.148689896401,1.0077018424224,124,FALSE,FALSE,FALSE,zero,2
YBR280C,writer_add,1.75665608823096,0.379933395831437,0.932215788021322,2.59138756391243,333.439298961297,1.0205623330389,124,FALSE,TRUE,FALSE,positive,2
YBR281C,writer_loss,-0.614349288980137,0.230518132323358,-1.12926403183458,-0.124516065885472,587.361803752144,1.00517039923327,124,FALSE,FALSE,TRUE,negative,2
YBR281C,writer_eraser_loss,-0.419091109478322,0.302572707021727,-1.11838073933171,0.322257066085449,1069.7493872736,1.00218228472319,124,FALSE,FALSE,FALSE,zero,2
YBR281C,writer_add,1.29962616855541,0.338900089345121,0.618034724987006,2.0338947811093,895.099300033672,1.00472647818055,124,FALSE,TRUE,FALSE,positive,2
YBR282W,writer_loss,-0.496791942563609,0.27844157479774,-1.0985827844852,0.150381321910182,797.993486652102,1.0030352075726,123,FALSE,FALSE,FALSE,zero,1
YBR282W,writer_eraser_loss,-0.415896520050894,0.363925383700037,-1.14992650459724,0.397976598731525,1108.72896883153,1.00759203203919,123,FALSE,FALSE,FALSE,zero,1
