Gene	rph1d_RNA_Rep1	rph1d_RNA_Rep2	rph1d_RNA_Rep3
YOR381W-A	23.4452	20.3067	3.70707
YOR382W	367.835	379.482	302.635
YOR383C	435.814	440.104	353.986
YOR384W	10.6684	10.566	10.0272
YOR385W	7.32652	7.68476	7.77962
YOR386W	3.44456	4.13672	3.29531
YOR387C	3.38247	3.90623	2.78108
YOR388C	0.047554	0.0411882	0.120305
YOR389W	2.32155	2.614	2.59399
YOR390W	2.86298	2.23175	2.38413
YOR391C	0.180398	0.156249	0.114096
YOR392W	0.430181	0	0
YOR393W	0	0	0
YOR394W	0	0	0
YOR394C-A	0	0	3.70707
YOR396W	0	0	0
YOR396C-A	0	0	0
YPL283C	0	0	0
YPL283W-B	0	0	0
YPL283W-A	0	0	0
YPL282C	0	0	0
YPL281C	0	0	0
YPL280W	0	0	0
YPL279C	2.3381	2.19042	1.84091
YPL278C	0	0.660185	1.92831
YPL277C	1.65699	1.52488	1.52832
YPL274W	23.4214	23.859	23.0953
YPL273W	111.157	114.715	109.457
YPL272C	3.11757	3.14564	2.64256
YPL271W	1053.45	1082.47	1217.45
YPL270W	18.6749	20.8364	18.6702
YPL269W	5.57245	6.59333	6.62394
YPL268W	6.98156	7.80105	7.37055
YPL267W	12.4397	11.3465	13.5769
YPL266W	65.639	71.5784	69.2031
YPL265W	26.7125	27.6719	27.8889
YPL264C	2.37314	3.61939	2.28402
YPL263C	48.0117	49.3524	46.6985
YPL262W	85.5037	85.4811	77.4038
YPL261C	2.07663	0	2.62678
YPL260W	30.436	34.4948	33.3334
YPL259C	19.7084	19.8433	18.4948
YPL258C	4.76959	6.01593	4.31751
YPL257W-A	0	0	0
YPL257W-B	0	0	0
YPL257W	3.90457	4.47281	4.62036
YPL256C	44.3281	47.4434	45.0524
YPL255W	8.49004	8.79225	9.25097
YPL254W	19.6628	21.0869	19.1876
YPL253C	7.02756	6.75121	6.00971
YPL252C	55.3021	51.9355	52.6615
YPL251W	60.2154	42.2518	76.6503
YPL250C	14.2398	18.164	14.4099
YPL249C-A	1742.43	1558.7	1666.54
YPL250W-A	2230.76	2033.6	2067.65
YPL249C	16.7702	16.4192	17.3255
YPL248C	4.54947	4.53152	4.50421
YPL247C	8.55972	8.84173	8.92261
YPL246C	80.8561	82.5452	78.4518
YPL245W	22.437	22.5585	22.7478
YPL244C	27.2545	26.2918	27.6282
YPL243W	51.6238	57.5486	53.14
YPL242C	12.3285	12.7349	12.2467
YPL241C	11.6507	11.914	11.3145
YPL240C	165.697	169.588	158.712
YPL239W	67.5347	70.0904	72.0881
YPL238C	168.663	178.29	179.106
YPL237W	184.851	175.197	178.852
YPL236C	8.37861	7.94406	8.08987
YPL235W	55.0609	58.1808	55.4412
YPL234C	218.75	213.685	204.777
YPL233W	16.2762	14.6396	15.6392
YPL232W	58.7466	59.4987	57.0931
YPL231W	278.773	279.541	260.065
YPL230W	2.03605	2.03781	1.31635
YPL229W	11.3876	9.76558	7.91538
YPL228W	17.0645	16.8804	17.5333
YPL227C	37.9481	35.1266	34.5977
YPL226W	122.515	127.713	120.635
YPL225W	202.067	198.669	200.198
YPL224C	12.0681	12.7419	12.8017
YPL223C	6.01503	8.72998	7.40295
YPL222W	5.26013	5.5551	4.62549
YPL222C-A	43.6213	64.2292	52.419
YPL221W	42.1393	46.4276	39.623
YPL220W	330.777	363.818	348.784
YPL219W	7.36553	7.53141	6.66416
YPL218W	291.009	285.242	271.004
YPL217C	32.076	34.2163	33.5144
YPL216W	5.14003	5.3186	5.21009
YPL215W	19.1754	21.4905	18.4887
YPL214C	9.34093	11.0517	9.47953
YPL213W	12.1885	10.4792	10.883
YPL212C	39.673	41.308	37.609
YPL211W	134.019	145.679	146.391
YPL210C	38.4098	38.7802	37.6832
YPL209C	2.84523	3.61155	3.25773
YPL208W	15.5715	16.5325	15.8846
YPL207W	26.7519	26.8135	25.9807
YPL206C	20.0061	17.7333	18.1288
YPL205C	11.7955	12.1085	14.0916
YPL204W	45.0646	45.6451	43.5467
YPL203W	18.9539	22.2681	18.0706
YPL202C	17.4552	17.4389	18.2937
YPL201C	2.06578	1.85314	1.79648
